symbol,name,exchange,assetType,ipoDate,delistingDate,status
A,Agilent Technologies Inc,NYSE,Stock,1999-11-18,,Active
AA,Alcoa Corp,NYSE,Stock,2016-10-18,,Active
AACG,ATA Creativity Global,NASDAQ,Stock,2008-01-29,,Active
AACT,Ares Acquisition Corporation II - Class A,NYSE,Stock,2023-06-12,,Active
AACT-U,Ares Acquisition Corporation II - Units (1 Ord Class A & 1/2 War),NYSE,Stock,2023-04-21,,Active
AACT-WS,Ares Acquisition Corporation II - Warrants (01/01/9999),NYSE,Stock,2023-06-12,,Active
AADI,Aadi Bioscience Inc,NASDAQ,Stock,2017-08-08,,Active
AADR,ADVISORSHARES DORSEY WRIGHT ADR ETF ,NASDAQ,ETF,2010-07-21,,Active
AAGR,African Agriculture Holdings Inc,NASDAQ,Stock,2023-12-07,,Active
AAGRW,African Agriculture Holdings Inc - Warrants (06/12/2028),NASDAQ,Stock,2023-12-07,,Active
AAL,American Airlines Group Inc,NASDAQ,Stock,2005-09-27,,Active
AAM-U,AA Mission Acquisition Corp - Units (1 Ord Share Class A & 1/2 War),NYSE,Stock,2024-08-01,,Active
AAME,Atlantic American Corp,NASDAQ,Stock,1984-09-07,,Active
AAN,Aarons Company Inc (The),NYSE,Stock,2020-11-25,,Active
AAOI,Applied Optoelectronics Inc,NASDAQ,Stock,2013-09-26,,Active
AAON,AAON Inc,NASDAQ,Stock,1992-12-16,,Active
AAP,Advance Auto Parts Inc,NYSE,Stock,2001-11-29,,Active
AAPB,GRANITESHARES 1.75X LONG AAPL DAILY ETF ,NASDAQ,ETF,2022-08-09,,Active
AAPD,DIREXION DAILY AAPL BEAR 1X SHARES ,NASDAQ,ETF,2022-08-09,,Active
AAPL,Apple Inc,NASDAQ,Stock,1980-12-12,,Active
AAPU,DIREXION DAILY AAPL BULL 1.5X SHARES ,NASDAQ,ETF,2022-08-09,,Active
AAT,American Assets Trust Inc,NYSE,Stock,2011-01-13,,Active
AAXJ,ISHARES MSCI ALL COUNTRY ASIA EX JAPAN ETF ,NASDAQ,ETF,2008-08-15,,Active
AB,AllianceBernstein Holding Lp,NYSE,Stock,1988-04-15,,Active
ABAT,Advanced Battery Technologies Inc,NASDAQ,Stock,2023-09-21,,Active
ABBV,Abbvie Inc,NYSE,Stock,2013-01-02,,Active
ABCB,Ameris Bancorp,NASDAQ,Stock,1994-05-19,,Active
ABCL,AbCellera Biologics Inc,NASDAQ,Stock,2020-12-11,,Active
ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,NASDAQ,ETF,2023-12-20,,Active
ABEO,Abeona Therapeutics Inc,NASDAQ,Stock,1980-09-19,,Active
ABEV,Ambev S.A.,NYSE,Stock,1997-03-05,,Active
ABG,Asbury Automotive Group Inc,NYSE,Stock,2002-03-21,,Active
ABL,Abacus Life Inc - Class A,NASDAQ,Stock,2020-09-14,,Active
ABLLL,Abacus Life Inc,NASDAQ,Stock,2023-11-24,,Active
ABLLW,Abacus Life Inc - Warrants (30/06/2028),NASDAQ,Stock,2020-09-14,,Active
ABLV,Able View Global Inc - Class B,NASDAQ,Stock,2022-09-12,,Active
